Mesh Number: 0
Vertex Count: 2418
Triangle Count: 806
 V534: -1.755323 -1.455548 0.100000 
 V535: -1.455548 0.100000 -1.755323 
 V536: 0.100000 -1.755323 -1.455548 
 V537: -1.755323 -1.455548 0.700000 
 V538: -1.455548 0.700000 -1.755323 
 V539: 0.700000 -1.755323 -1.455548 
 V540: -1.755323 -1.455548 0.700000 
 V541: -1.455548 0.700000 -1.755323 
 V542: 0.700000 -1.755323 -1.455548 
 V543: -1.755323 -1.455548 0.100000 
 V544: -1.455548 0.100000 -1.614028 
 V545: 0.100000 -1.614028 -1.390293 
 V546: -1.614028 -1.390293 0.100000 
 V547: -1.390293 0.100000 -1.755323 
 V548: 0.100000 -1.755323 -1.455548 
 V549: -1.755323 -1.455548 0.700000 
 V550: -1.455548 0.700000 -1.614028 
 V551: 0.700000 -1.614028 -1.390293 
 V552: -1.614028 -1.390293 0.100000 
 V553: -1.390293 0.100000 -1.614028 
 V554: 0.100000 -1.614028 -1.390293 
 V555: -1.614028 -1.390293 0.700000 
 V556: -1.390293 0.700000 -1.614028 
 V557: 0.700000 -1.614028 -1.390293 
 V558: -1.614028 -1.390293 0.700000 
 V559: -1.390293 0.700000 -1.614028 
 V560: 0.700000 -1.614028 -1.390293 
 V561: -1.614028 -1.390293 0.100000 
 V562: -1.390293 0.100000 -1.460389 
 V563: 0.100000 -1.460389 -1.330298 
 V564: -1.460389 -1.330298 0.100000 
 V565: -1.330298 0.100000 -1.614028 
 V566: 0.100000 -1.614028 -1.390293 
 V567: -1.614028 -1.390293 0.700000 
 V568: -1.390293 0.700000 -1.460389 
 V569: 0.700000 -1.460389 -1.330298 
 V570: -1.460389 -1.330298 0.100000 
 V571: -1.330298 0.100000 -1.460389 
 V572: 0.100000 -1.460389 -1.330298 
 V573: -1.460389 -1.330298 0.700000 
 V574: -1.330298 0.700000 -1.460389 
 V575: 0.700000 -1.460389 -1.330298 
 V576: -1.460389 -1.330298 0.700000 
 V577: -1.330298 0.700000 -1.460389 
 V578: 0.700000 -1.460389 -1.330298 
 V579: -1.460389 -1.330298 0.100000 
 V580: -1.330298 0.100000 -1.304251 
 V581: 0.100000 -1.304251 -1.281393 
 V582: -1.304251 -1.281393 0.100000 
 V583: -1.281393 0.100000 -1.460389 
 V584: 0.100000 -1.460389 -1.330298 
 V585: -1.460389 -1.330298 0.700000 
 V586: -1.330298 0.700000 -1.304251 
 V587: 0.700000 -1.304251 -1.281393 
 V588: -1.304251 -1.281393 0.100000 
 V589: -1.281393 0.100000 -1.304251 
 V590: 0.100000 -1.304251 -1.281393 
 V591: -1.304251 -1.281393 0.700000 
 V592: -1.281393 0.700000 -1.304251 
 V593: 0.700000 -1.304251 -1.281393 
 V594: -1.304251 -1.281393 0.700000 
 V595: -1.281393 0.700000 -1.304251 
 V596: 0.700000 -1.304251 -1.281393 
 V597: -1.304251 -1.281393 0.100000 
 V598: -1.281393 0.100000 -1.155305 
 V599: 0.100000 -1.155305 -1.243169 
 V600: -1.155305 -1.243169 0.100000 
 V601: -1.243169 0.100000 -1.304251 
 V602: 0.100000 -1.304251 -1.281393 
 V603: -1.304251 -1.281393 0.700000 
 V604: -1.281393 0.700000 -1.155305 
 V605: 0.700000 -1.155305 -1.243169 
 V606: -1.155305 -1.243169 0.100000 
 V607: -1.243169 0.100000 -1.155305 
 V608: 0.100000 -1.155305 -1.243169 
 V609: -1.155305 -1.243169 0.700000 
 V610: -1.243169 0.700000 -1.155305 
 V611: 0.700000 -1.155305 -1.243169 
 V612: -1.155305 -1.243169 0.700000 
 V613: -1.243169 0.700000 -1.155305 
 V614: 0.700000 -1.155305 -1.243169 
 V615: -1.155305 -1.243169 0.100000 
 V616: -1.243169 0.100000 -1.019804 
 V617: 0.100000 -1.019804 -1.211640 
 V618: -1.019804 -1.211640 0.100000 
